name,confidence,models,roles,organizations,source_count,years,sources
המפנקים,medium,hebert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
הערבה,medium,hebert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
mal,medium,dictabert,,קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/#main; https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/; https://aravaff.co.il/movies/%d7%94%d7%91%d7%94%d7%9c%d7%94-%d7%9c%d7%96%d7%94%d7%91/
פריץ לאנג,high,dictabert+hebert,"מפיק, תסריטאי",קרן קולנוע ערבה,4,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/; https://aravaff.co.il/movies/stop-making-sense/#main
chi,medium,dictabert,,קרן קולנוע ערבה,4,"2020,2023,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main; https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/
רוז,medium,dictabert,במאי,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a8%d7%95%d7%96%d7%90%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
hay,medium,dictabert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
הייאו מיאזאקי,medium,hebert,"מייסד, במאי, מפיק",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
דניאל אויערבאך דניאל אויערבאך,medium,hebert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
toshio suzuki,medium,hebert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
ג'יבל,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,4,"2016,2023",https://aravaff.co.il/movies/%d7%94%d7%a6%d7%91-%d7%94%d7%90%d7%93%d7%95%d7%9d/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
בלז,medium,dictabert,"מפיק, במאי",קרן קולנוע ערבה,4,"2023,2025",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main
רונן מכלי,medium,dictabert,"מפיק, במאי",קרן קולנוע ערבה,4,"2023,2025",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main
רונן מכליס בלזם,medium,hebert,"מפיק, במאי",קרן קולנוע ערבה,4,"2023,2025",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main
מיקלאנג'לו אנטוניוני,medium,hebert,,קרן קולנוע ערבה,4,,https://aravaff.co.il/movies/%d7%99%d7%a6%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%94%d7%a9%d7%99%d7%97%d7%94/; https://aravaff.co.il/movies/%d7%99%d7%a6%d7%a8%d7%99%d7%9d/#main
gar,medium,dictabert,,קרן קולנוע ערבה,4,,https://aravaff.co.il/movies/stop-making-sense/#main; https://aravaff.co.il/movies/stop-making-sense/; https://aravaff.co.il/movies/%d7%94%d7%a9%d7%99%d7%97%d7%94/
dun,medium,dictabert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%97%d7%93%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%97%d7%93%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%96%d7%9b%d7%a8%d7%95%d7%a0%d7%95%d7%aa/
גוני,high,dictabert+hebert,במאי,קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/#main
סיון לוי זקין,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/#main
ari,medium,dictabert,,קרן קולנוע ערבה,4,"2023,2025",https://aravaff.co.il/movies/%d7%9c%d7%94%d7%96%d7%99%d7%96-%d7%94%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%99%d7%9e%d7%99%d7%9d-%d7%9e%d7%95%d7%a9%d7%9c%d7%9e%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%9c%d7%94%d7%96%d7%99%d7%96-%d7%94%d7%a8%d7%99%d7%9d/#main
שרון,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%9c%d7%90-%d7%94%d7%a9%d7%91%d7%aa-%d7%a9%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/movies/%d7%9c%d7%90-%d7%94%d7%a9%d7%91%d7%aa-%d7%a9%d7%9c%d7%99/
hel,medium,dictabert,,קרן קולנוע ערבה,4,"2023,2025",https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/#main; https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/#main; https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/
סטודיו הייב,medium,hebert,מפיק,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/#main
ber,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,4,2025,https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/
יואל רוזנקיאר,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/#main; https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/
יואל רוז,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/#main; https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/
מאיר,high,dictabert+hebert,במאי,קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/#main; https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/
נינו,high,dictabert+hebert,עורך,קרן קולנוע ערבה,4,2025,https://aravaff.co.il/movies/%d7%a0%d7%99%d7%a0%d7%95/#main; https://aravaff.co.il/movies/%d7%a0%d7%90%d7%a0%d7%93%d7%90%d7%95%d7%a8%d7%99/; https://aravaff.co.il/movies/%d7%a0%d7%90%d7%a0%d7%93%d7%90%d7%95%d7%a8%d7%99/#main
jean,medium,dictabert+hebert,,קרן קולנוע ערבה,4,"2024,2025",https://aravaff.co.il/movies/%d7%a0%d7%99%d7%a0%d7%95/#main; https://aravaff.co.il/movies/%d7%a1%d7%97%d7%95%d7%a8%d7%94-%d7%99%d7%a7%d7%a8%d7%94-%d7%9e%d7%9b%d7%9c/; https://aravaff.co.il/movies/%d7%a1%d7%97%d7%95%d7%a8%d7%94-%d7%99%d7%a7%d7%a8%d7%94-%d7%9e%d7%9b%d7%9c/#main
יעל,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,4,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/#main
דילן יוסף שטרית,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,4,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/; https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/
- ווקר,medium,dictabert,,קרן קולנוע ערבה,3,2023,https://aravaff.co.il/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%a1%d7%a7%d7%a1/; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%a1%d7%a7%d7%a1/#main
מולי מני,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,3,2023,https://aravaff.co.il/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%a1%d7%a7%d7%a1/; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%a1%d7%a7%d7%a1/#main
אלמודובר,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",3,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
דוד,medium,hebert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",3,"2023,2024",https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
ריימונד בורלה,medium,hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",3,"1998,2024",https://aravaff.co.il/movies/%d7%a7%d7%99%d7%a8%d7%99%d7%a7%d7%95-%d7%95%d7%94%d7%9e%d7%9b%d7%a9%d7%a4%d7%94/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%a7%d7%99%d7%a8%d7%99%d7%a7%d7%95-%d7%95%d7%94%d7%9e%d7%9b%d7%a9%d7%a4%d7%94/#main
אתי ציק,medium,dictabert,"במאי, מפיק, שחקן","קרן קולנוע ערבה, קרן קולנוע נגב",3,2025,https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/movies/%d7%a0%d7%90%d7%a0%d7%93%d7%90%d7%95%d7%a8%d7%99/; https://aravaff.co.il/movies/%d7%a0%d7%90%d7%a0%d7%93%d7%90%d7%95%d7%a8%d7%99/#main
ז'אן - לוק גודאר,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/; https://aravaff.co.il/archive/2025/
הילה רויזנמן,medium,hebert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",3,2025,https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/; https://aravaff.co.il/archive/2025/; https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/#main
דונ,medium,dictabert,"במאי, שחקן","קרן קולנוע ערבה, קרן קולנוע נגב",3,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/movies/%d7%91%d7%a2%d7%91%d7%95%d7%93%d7%94/; https://aravaff.co.il/movies/%d7%91%d7%a2%d7%91%d7%95%d7%93%d7%94/#main
ופיי דא,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%a6%d7%b3%d7%99%d7%99%d7%a0%d7%94%d7%98%d7%90%d7%95%d7%9f/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/movies/%d7%a6%d7%b3%d7%99%d7%99%d7%a0%d7%94%d7%98%d7%90%d7%95%d7%9f/
ז'ולייט ארמ,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/
אלכסנדר קורנב,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/
קורנב,medium,hebert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/
שרו,medium,dictabert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/
ז'ולייט ארמאנה,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/
חפסיה הרזי,medium,hebert,"במאי, שחקן","קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%94%d7%90%d7%97%d7%95%d7%aa-%d7%94%d7%a7%d7%98%d7%a0%d7%94/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/movies/%d7%94%d7%90%d7%97%d7%95%d7%aa-%d7%94%d7%a7%d7%98%d7%a0%d7%94/
קודי מאב,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%aa%d7%a4%d7%95%d7%a1-%d7%aa%d7%b3%d7%92%d7%9c%d7%99%d7%9d/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%aa%d7%a4%d7%95%d7%a1-%d7%aa%d7%b3%d7%92%d7%9c%d7%99%d7%9d/
שמיקאל ודניאל,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",3,"2020,2021,2025",https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
barzilai,medium,hebert,,קרן קולנוע ערבה,3,2024,https://aravaff.co.il/en/movies/a-letter-to-the-father/#main; https://aravaff.co.il/en/movies/a-letter-to-the-father/; https://aravaff.co.il/en/archive/2024-en/#main
ונתן גלייזר ריו,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
' י מארי,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
מני,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
שוויץ,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
פינ,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
בלגיה,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
ווקר,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
##ava,medium,hebert,,קרן קולנוע ערבה,2,"2023,2024",https://aravaff.co.il/archive/2023/; https://aravaff.co.il/en/archive/2024-en/#main
סי היי,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
פבלו ברגר איל,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
קפא,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
דרור רונ,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
קוה,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
סאל,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
ג׳ון קס,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
בהא,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
איגרא,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
אנדריאה ארנולד פיא,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
גוואן מדינה,medium,hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
בימויג'ון קסאווטס,medium,hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
יוסף שטרית לי,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
