name,confidence,models,roles,organizations,source_count,years,sources
וים ונדרס,high,dictabert+hebert,"במאי, מפיק, שחקן","קרן הקולנוע ערבה, קרן קולנוע ערבה",8,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/; https://aravaff.co.il/movies/%d7%99%d7%9e%d7%99%d7%9d-%d7%9e%d7%95%d7%a9%d7%9c%d7%9e%d7%99%d7%9d/#main
שון בייקר,high,dictabert+hebert,"במאי, מפיק, עורך","קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",8,"2020,2021,2024,2025",https://aravaff.co.il/movies/%d7%90%d7%a0%d7%95%d7%a8%d7%94/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
עמרי ברזילי,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",8,2024,https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/; https://aravaff.co.il/movies/%d7%92%d7%91%d7%95%d7%9c/#main; https://aravaff.co.il/archive/2024/#main
אורן גר,medium,dictabert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",8,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
יוסר,medium,dictabert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",8,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main
miyazaki,medium,hebert,,קרן קולנוע ערבה,8,"2023,2024",https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
jonathan,medium,hebert,,קרן קולנוע ערבה,8,"2023,2024",https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/
midbara,medium,hebert,,קרן קולנוע ערבה,8,"2020,2021,2023,2025",https://aravaff.co.il/en/movies/%d7%99%d7%9d-%d7%98%d7%aa%d7%99%d7%a1/; https://aravaff.co.il/en/movies/%d7%94%d7%a8%d7%95%d7%a2-%d7%90%d7%99%d7%a0%d7%95-%d7%a7%d7%99%d7%99%d7%9d/; https://aravaff.co.il/en/movies/stop-making-sense/
גלוריה,high,dictabert+hebert,במאי,קרן קולנוע ערבה,8,"2014,2023",https://aravaff.co.il/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/
##נקים,medium,hebert,,קרן קולנוע ערבה,8,"2014,2023,2024,2025",https://aravaff.co.il/movies/%d7%9c%d7%94%d7%96%d7%99%d7%96-%d7%94%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%9b%d7%a9%d7%94%d7%90%d7%95%d7%a8-%d7%a0%d7%a9%d7%91%d7%a8/#main
