קטגוריה,שם,תפקיד,איפה,מקור
סגל אקדמי,יותם לנדוי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,דן לרנר,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,מרים מוהבן-שקד,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,דניאלה מוחנצ'ב,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יואב ארבל,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אילה ביטמן,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יעל בן זאב,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,מארק גדיליה,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אירית גזית,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יעל מזור,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,איל מילט,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,רן מנדלסון – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עמיר מנור,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,תמר מרום,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ישי יהודה מרציאנו,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,נועה מרקין,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,רם נהרי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,תומר נחושתן,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,משה נחמיאס,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יאיר נחשון – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יואב סבריאגו,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אסף סודרי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,מורן עובדיה,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,איריס עוזר – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,יערה עוזרי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אהרונסון עמוס,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אבנר פינגלרנט – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עטרה פריש,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אדר פרלמן,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עומרי צדקה,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,רם ציזלינג,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ניר קדם,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,דובר קוסאשווילי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ניצן קימל,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,חנן אלברט קמינסקי,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,שירה ראוזניץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,אורי רשף – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,נועה שגיא,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ג'ו יעל שוולב מור,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עמית יצחק שורצנברג,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,כתריאל שחורי – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,דב שטויר,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,רומי שיאון,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,טלי שלום עזר,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עמרי שנהר – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ירון שני,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,דניאל שניאור,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,ערן שפירא,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,טלי שרון – מורה מן החוץ,מרצה,אוניברסיטת תל אביב,
סגל אקדמי,עודד ידעיה,מנהל בית הספר ומרצה לצילום,מנשר,https://minshar.org.il/film-studies
סגל אקדמי,רונית ידעיה,ראשת המחלקה לכתיבה,מנשר,
סגל אקדמי,עדי שחם,ראשת המחלקה לצילום,מנשר,
סגל אקדמי,נטע כהן,ראשת המחלקה לאנימציה,מנשר,
סגל אקדמי,נעם ונקרט,ראש המחלקה לאמנות,מנשר,
סגל אקדמי,חורחה גורביץ',"במאי, תסריטאי ומרצה",מנשר,
סגל אקדמי,גדי רימר,"במאי, עורך ומרצה",מנשר,
סגל אקדמי,גל איסר,קולוריסט ומרצה לפוסט-פרודקשן,מנשר,
סגל אקדמי,אורן גרנר,"במאי, תסריטאי ומרצה",מנשר,
סגל אקדמי,ברכה זיסמן,"עורכת, במאית דוקומנטרית ומרצה",מנשר,
סגל אקדמי,מתן גוגנהיים,"יוצר קולנועי, במאי ומרצה",מנשר,
סגל אקדמי,תום שובל,"במאי, תסריטאי, עורך ומרצה",מנשר,
סגל אקדמי,איילת בכר,יוצרת דוקומנטרית ומרצה,מנשר,
סגל אקדמי,אסף סבן,"במאי, תסריטאי ומפיק, מרצה",מנשר,
סגל אקדמי,פרופ' רועי רוזן,פרופסור ומרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,פרופ' דורון רבינא,פרופסור ומרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,גיא בן-נר,מרצה במחלקה לאמנות,מכללת בית ברל,
סגל אקדמי,רותי סלע,מרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,עאישה עראר,מרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,אהד פישוף,מרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,מריה סלאח מחמיד,מרצה לאמנות וקולנוע,מכללת בית ברל,
סגל אקדמי,אתי יעקבי ליליאור,מרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,הלל רומן,מנחה ומרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,שחר יהלום,מנחה ומרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,אלונה פרידברג,מרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,ברק רביץ,מנחה ומרצה לקולנוע ואמנות,מכללת בית ברל,
סגל אקדמי,אנה סומרשף,מרצה במחלקה לקולנוע,מכללת בית ברל,
סגל אקדמי,ג'ון אבישי,מרצה במחלקה לקולנוע,מכללת בית ברל,
סגל אקדמי,זהר סיטנר,מרצה לקולנוע,מכללת בית ברל,
סגל אקדמי,חיים טבקמן,מרצה במחלקה לקולנוע,מכללת בית ברל,
סגל אקדמי,יואב קוש,מרצה במחלקה לקולנוע,מכללת בית ברל,
סגל אקדמי,אייל גור-אריה,מרצה לעיצוב פסקול לאנימציה,בצלאל,
סגל אקדמי,שרון גזינית,מרצה לאנימציה,בצלאל,
סגל אקדמי,פרופ' מרב סלומון,פרופסור ואיור,בצלאל,
סגל אקדמי,עמית טריינין,מאייר וראש תחום איור,בצלאל,
סגל אקדמי,רועי ואטורי,ראש מגמת עיצוב במה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,פרידה שוהם,מייסדת מגמת עיצוב במה ומרצה,סמינר הקיבוצים,
סגל אקדמי,דנה צרפתי,מרצה לתולדות העיצוב,סמינר הקיבוצים,
סגל אקדמי,ענת שוורץ,ראשת החוג לתקשורת וקולנוע,סמינר הקיבוצים,
סגל אקדמי,יובל אהרוני,מרצה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,אלירן אליה,מרצה לקולנוע ויוצר,סמינר הקיבוצים,
סגל אקדמי,ליאור סורוקה,מרצה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,ענבל פטל,מרצה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,"ד""ר גתית פרלמוטר",מרצה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,דני לרנר,מרצה לקולנוע ויוצר,סמינר הקיבוצים,
סגל אקדמי,"ד""ר מאיה פנחסי",מרצה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,מאיר ראובני,מרכז הוראה לקולנוע,סמינר הקיבוצים,
סגל אקדמי,דיקלה שטרית,מרצה לקולנוע ומדיה,סמינר הקיבוצים,
סגל אקדמי,ג'ולי שלז,במאית ומרצה לקולנוע,סמינר הקיבוצים,
עיתונאים ומבקרים,רוי יודקביץ',מבקר קולנוע ומנחה פודקאסט,"בלוג ""סריטה"", פודקאסט ""שעת סיפור""",
עיתונאים ומבקרים,יניב אידלשטיין,מתרגם סרטים וכותב,"בלוג ""סריטה""",
עיתונאים ומבקרים,מיכל ליבר רונן,מבקרת קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,יעל מאורר,מבקרת קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,איתן ווייץ,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,אלברט גבאי,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,נטליה ירמין,מבקרת קולנוע וחברת פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,נעמה רק,עורכת פודקאסט וחברת פורום,"פורום מבקרי הקולנוע, פודקאסט ""קבוצת ביקורת""",
עיתונאים ומבקרים,עידו רוזן,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,שי שגב,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,תומר קמרלינג,מבקר קולנוע וחבר פורום,"פורום מבקרי הקולנוע בישראל, mako",
עיתונאים ומבקרים,נגה חביון,חברת מערכת פודקאסט,"פודקאסט ""תיבת תעודה""",
עיתונאים ומבקרים,גילי פורת,מנחת פודקאסט,"פודקאסט ""Trashtalk""",
עיתונאים ומבקרים,שני קיניסו,מנחת פודקאסט,"פודקאסט ""Trashtalk""",
עיתונאים ומבקרים,דן שדור,מנהל ועורך פודקאסט,"פודקאסט ""תיבת תעודה"" — דוקומנטרי",
עיתונאים ומבקרים,יואב אברמוביץ',מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,נמרוד אלדאה,מבקר קולנוע ויוצר,ערוצי תקשורת וניו-מדיה,
עיתונאים ומבקרים,לירון רחל ארז,מבקרת קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,אמיר בוגן,מבקר קולנוע,ynet,
עיתונאים ומבקרים,נתן ברנד,איש תקשורת ומבקר קולנוע,ערוצי תקשורת ומדיה,
עיתונאים ומבקרים,נתן גרוס,מבקר קולנוע היסטורי,עיתונות ארכיון,
עיתונאים ומבקרים,דוד גרינברג,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,יובל ריבלין,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,שאול שיר-רן,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,אורון שמיר,מייסד בלוג ומבקר קולנוע,בלוג סריטה,
עיתונאים ומבקרים,ר. אומוט,במאי עצמאי וכותב,בלוג סריטה · קבוצת נו קאוסט,
עיתונאים ומבקרים,אלעד שלו,עורך,אתר Seret,
עיתונאים ומבקרים,אורי ברייטמן,מבקר קולנוע,אתר ביקורות קולנוע מאת אורי ברייטמן,
עיתונאים ומבקרים,ג. עיטור,מבקר קולנוע היסטורי,עיתונות ארכיון,
עיתונאים ומבקרים,מרט פרחומובסקי,מבקר קולנוע ויוצר,מדורי קולנוע שונים,
עיתונאים ומבקרים,ירון פריד,מבקר קולנוע,מדורי קולנוע שונים,
עיתונאים ומבקרים,עזריה רפופורט,מבקר קולנוע היסטורי,עיתונות ארכיון,
עיתונאים ומבקרים,בנימין טוביאס,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל · ידיעות אחרונות,
עיתונאים ומבקרים,יקיר אלקריב,מבקר קולנוע וחבר פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,מיכל סופר-זמרני,מבקרת קולנוע וחברת פורום,פורום מבקרי הקולנוע בישראל,
עיתונאים ומבקרים,יוני זאבו,מגיש פודקאסט,פודקאסט סרטים זה אנחנו,
עיתונאים ומבקרים,שחר אבירי,מראיין ועורך פודקאסט,פודקאסט שואוריל Showreel,
עיתונאים ומבקרים,לירון מור,מגיש פודקאסט,פודקאסט שורדים בקושי,
עיתונאים ומבקרים,שלום סיונוב,מגיש פודקאסט,פודקאסט שורדים בקושי,
עיתונאים ומבקרים,יהונתן צוריה,מנהל ועורך ראשי,אתר עין הדג,
עיתונאים ומבקרים,דוד ארונשטם,מגיש פודקאסט,פודקאסט פיילוט,
