URLs to scrape: 1491
  [33/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%90%d7%95%d7%9e%d7%a8%d7%95%d7%aa-%d7%a9%d7%aa%d7%99%d7%a7%d7%94/ (19601 bytes)
  [34/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%94%d7%a4%d7%a1%d7%a7%d7%aa%d7%99-%d7%9c%d7%a4%d7%97%d7%93-%d7%95%d7%9c%d7%9e%d7%93%d7%aa%d7%99-%d7%9c%d7%90%d7%94%d7%95%d7%91-%d7%90%d7%aa-%d7%90%d7%a8%d7%99%d7%a7-%d7%a9%d7%a8/ (21953 bytes)
  [35/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%94%d7%99%d7%95%d7%aa-%d7%9c%d7%91%d7%93/ (18636 bytes)
  [36/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%9e%d7%a1%d7%9e%d7%a0%d7%99%d7%9d-%d7%90%d7%94%d7%91%d7%94/ (16492 bytes)
  [37/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%99%d7%9b%d7%9e%d7%9f-%d7%94%d7%94%d7%a7%d7%9c%d7%98%d7%95%d7%aa-%d7%94%d7%90%d7%91%d7%95%d7%93%d7%95%d7%aa/ (18355 bytes)
  [38/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9f-%d7%a2%d7%a6%d7%9e%d7%99-%d7%99%d7%a9-%d7%a9%d7%99%d7%a8%d7%94/ (11891 bytes)
  [39/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9f-%d7%a0%d7%a4%d7%92%d7%a2%d7%99%d7%9d-%d7%91%d7%a0%d7%a4%d7%a9/ (16298 bytes)
  [40/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a0%d7%93%d7%9c/ (16051 bytes)
  [41/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a0%d7%aa%d7%99%d7%a4%d7%90%d7%93%d7%94-%d8%a7%d8%a7%d9%84%d9%86%d8%aa%d9%81%d8%a7%d8%b6%d8%a9/ (16271 bytes)
  [42/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a0%d7%95%d7%95%d7%a0%d7%98%d7%a8/ (14741 bytes)
  [43/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a4%d7%94-%d7%90%d7%a0%d7%94-%d7%a4%d7%a8%d7%a0%d7%a7/ (28007 bytes)
  [44/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a4%d7%94-%d7%94%d7%93%d7%91%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c%d7%99/ (15144 bytes)
  [45/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a4%d7%94-%d7%a9%d7%a0%d7%92%d7%9e%d7%a8%d7%99%d7%9d-%d7%94%d7%a9%d7%9e%d7%99%d7%99%d7%9d/ (16550 bytes)
  [46/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a8%d7%95%d7%a1%d7%99-%d7%93%d7%9e%d7%99%d7%9d/ (20225 bytes)
  [47/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a9%d7%94-%d7%90%d7%97%d7%95%d7%aa/ (17752 bytes)
  [48/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a0%d7%aa-%d7%a2%d7%95%d7%9e%d7%a8%d7%99/ (13803 bytes)
  [49/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a9%d7%94-%d7%a9%d7%9c-%d7%91%d7%99%d7%aa/ (15148 bytes)
  [50/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99/ (13791 bytes)
  [51/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%a9-%d7%94%d7%a6%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d/ (15071 bytes)
  [52/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%91%d7%99%d7%aa%d7%99/ (11541 bytes)
  [53/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%91%d7%a8%d7%98-%d7%a7%d7%99%d7%95%d7%a1%d7%95-3/ (19983 bytes)
